,Id,Name,placeOfBirth,Gender,DateAcquired
3783,13793,Vlassis Caniaris,Greece,Male,2010
3785,855,Martin Canin,United States,Male,1975
3791,12113,Ellen Cantor,United States,Female,2008
3792,10272,Fei Cao,China,Female,2008
3793,856,Audrey Capel Doray,Canada,Female,1977
3794,857,Malcolm Carder,0,Male,1966
3795,8803,Michel Cardew,United Kingdom,Male,2005
3802,4499,Janet Cardiff,Canada,Female,0
3803,859,José Cardoso  Junior,Portugal,Male,1945
3804,9119,Maria Cardoso,Colombia,Female,2007
3805,83,George Carline,United Kingdom,Male,1978
3807,860,Hilda Carline,United Kingdom,Female,1975
3808,861,Nancy Carline,United Kingdom,Female,1985
3809,862,Richard Carline,United Kingdom,Male,1974
3812,863,Sydney Carline,United Kingdom,Male,1929
3814,84,George Howard Carlisle  Ninth Earl of,United Kingdom,Male,1944
3815,864,Michael Carlo,United Kingdom,Male,1979
3816,5248,Gillian Carnegie,United Kingdom,Female,2007
3819,11738,André Carneiro,Brasil,Male,0
3820,16015,Antonio Caro,Colombia,Male,2012
3821,865,Sir Anthony Caro,United Kingdom,Male,1989
3840,866,Thomas Carr,United Kingdom,Male,1975
3841,867,Eugène Carrière,France,Male,1927
3844,868,Dora Carrington,United Kingdom,Female,1987
3846,7615,Leonora Carrington,United Kingdom,Female,2004
3848,869,B.A.R. Carter,United Kingdom,Male,1961
3849,85,Hugh Carter,United Kingdom,Male,1905
3850,7079,Nathan Carter,United States,Male,2009
3852,86,Samuel John Carter,United Kingdom,Male,1894
3853,870,William Carter,United Kingdom,Male,1937
3854,2729,Henri Cartier-Bresson,France,Male,2010
3856,2484,Thomas Carwitham,0,Male,1996
3859,2105,Juan Vila Casas,Spain,Male,1962
3860,4624,James Casebere,United States,Male,0
3861,871,Jesse Dale Cast,0,Male,1983
3864,87,George Cattermole,United Kingdom,Male,1899
3875,873,Patrick Caulfield,United Kingdom,Male,1976
3999,874,Jean-Charles Cazin,France,Male,1927
4000,875,Marie Cazin,France,Female,1944
4001,876,Stojan Celic,0,Male,1981
4002,877,Pierre Celice,France,Male,1975
4013,2731,Vija Celmins,Latvija,Female,2008
4048,878,César,France,Male,1994
4056,879,Paul Cézanne,France,Male,1933
4061,2253,Helen Chadwick,United Kingdom,Female,1989
4076,880,Lynn Chadwick,United Kingdom,Male,1951
4103,881,Marc Chagall,Belarus,Male,1942
4110,882,Marc Camille Chaimowicz,France,Male,1982
4113,883,Michael Challenger,United Kingdom,Male,1975
4116,88,Henry Bernard Chalon,0,Male,1979
4117,884,Christopher Chamberlain,United Kingdom,Male,1954
4118,885,John Chamberlain,United States,Male,1968
4120,89,George Chambers,United Kingdom,Male,1905
