,Name
Mary McEvoy,1
R. H. Quaytman,1
Mary Newcomb,1
Elinor Bellingham-Smith,1
Lady Davis,1
Ha van Vuong,1
Anthea Alley,1
Moyra Davey,1
Frances Stark,1
Renée Sintenis,1
Anne Said,1
Rita M. Ling,1
Anne Martin,1
Cecily Brown,1
Fiona Tan,1
Olivia Plender,1
Samira Eskandarfar,1
Elizabeth Forbes,1
Laura Anning Bell,1
Tomoko Takahashi,1
Mimi Parent,1
Hannah Wilke,1
Ann Sanders,1
Helena Markson,1
Grazia Toderi,1
Lucy Skaer,1
Jean Cooke,1
Julie Roberts,1
E. Box,1
Monique Charbonneau,1
Breda Beban,1
Hedda Sterne,1
Lady Kennet,1
Jane Pollard,1
Phyllis Ginger,1
Margot Perryman,1
J. Morgan Puett,1
Jeong-A Koo,1
Sylvia Gosse,1
Margery Clinton,1
Lucy McKenzie,1
Anne Seymour Damer,1
Louise Wilson,1
Valeska Soares,1
Grace Wheatley,1
Lucy Gunning,1
Sue Fuller,1
Winifred Turner,1
Ann Travis,1
Laura Ford,1
Liliana Porter,1
Phoebe Unwin,1
Dorothea Lange,1
Angela Burt (née Dallas),1
Olwyn Bowey,1
Gulsun Karamustafa,1
Janet Cree,1
Pipilotti Rist,1
Norah Braden,1
Lee Krasner,1
Shelagh Wakely,1
Sylvia Edwards,1
Swoon,1
Eleanor Koch,1
Aleksandra Mir,1
Barbara Kruger,1
Lindsay Seers,1
Maria Cardoso,1
Berthe Morisot,1
Imke Wagener,1
Priscilla Monge,1
Joan Jonas,1
Mary Kelly,1
Isabel Rawsthorne,1
Marianne Stokes,1
Georgie Hopton,1
Lady Dorothy Stanley,1
Hideko Fukushima,1
Caroline Bergvall,1
Rose Wylie,1
Sherrie Levine,1
Margaret Gere,1
Valentine Hugo,1
Nancy Carline,1
Mary Kessell,1
Astrid Klein,1
Valérie Mréjen,1
Nora L.M. Cundell,1
