,Id,Name,Nationality,Gender,DateAcquired
132525,49158,Tarsila do Amaral,Brazilian,Female,2017
132527,49159,Johan Van Der Keuken,Dutch,Male,2016
132529,49165,Ambrogio Pozzi,Italian,Male,2011
132530,49166,Paz Errázuriz,Chilean,Female,2017
132539,49169,Jiří Pelcl,Czech,Male,2016
132540,49175,Mike Stephenson,0,Male,0
132541,49176,George Stone,British,Male,0
132542,49177,Matt Frewer,Canadian,Male,0
132543,49179,J. Herbert McNair,British,Male,0
132544,49180,Studio Boggeri,Italian,0,2016
132545,49193,Helen Mayer Harrison,American,Female,0
132546,49194,Newton Harrison,American,Male,0
132547,49197,Gertrudes Altschul,Brazilian,Female,2016
132557,49198,Iman Issa,Egyptian,Female,2016
132560,49199,Marcel Giró,Spanish,Male,2016
132568,49200,Ademar Manarini,Brazilian,Male,2016
132570,49207,Ronald Beckman,American,Male,0
132571,49209,George Nelson Associates,American,0,2018
132575,49216,Neïl Beloufa,Algerian,Male,2016
132577,49220,Chto Delat (What is to be done?),Russian,0,2016
132578,49222,Jumana Manna,Palestinian,Female,2016
132579,49237,"Better Shelter, Sweden",Swedish,0,2016
132580,49244,Moon Hoon,Korean,Male,2016
132586,49245,Johnston Marklee,0,0,0
132587,49255,John Svezia,0,Male,0
132588,49256,Ray Wilkes,0,Male,0
132589,49257,Thinking Machines Corporation,0,0,0
132590,49259,Donald Wall,0,Male,0
132591,49260,W. Borek,0,Male,0
132592,49261,Robert Massin,0,Male,2016
132594,49271,"Deberny et Peignot, Paris",0,0,2015
132595,49275,Cecily Hoyt,American,Female,0
132596,49280,Thomas Weir,0,Male,0
132597,49295,George Kastner,0,0,0
132598,49296,Eugene Masselink,American,0,0
132608,49344,Paulo Pires da Silva,Brazilian,Male,2016
132610,49345,Eduardo Salvatore,Brazilian,Male,2016
132613,49346,José Yalenti,Brazilian,Male,2016
132616,49348,Grainware,0,0,0
132617,49351,Gottfried Helnwein,Austrian,Male,2016
132618,49352,Emilio Greco,Italian,Male,2016
132638,49355,Ila Bêka,Italian,Male,0
132639,49356,Louise Lemoine,French,Female,0
132640,49361,Louis Draper,American,Male,2022
132645,49362,Albert Fennar,American,Male,2022
132646,49363,Herman Howard,American,Male,2022
132648,49364,Earl James,American,Male,2022
132649,49365,James Mannas,American,Male,2022
132651,49366,Calvin Mercer,0,Male,2022
132652,49367,Melvin Mills,0,Male,2022
132653,49368,Shawn W. Walker,American,Male,2022
132658,49369,Calvin Wilson,American,Male,2022
132660,49370,Larry Stewart,0,Male,2022
132661,49371,Ray Francis,American,Male,2022
132663,49372,Kamoinge Workshop,0,0,2022
132665,49373,David Carter,American,Male,2022
132666,49374,Herb Robinson,American,Male,2022
132667,49390,Harry R. Barry,0,Male,1942
132668,49417,Luigi Scrivo,Italian,Male,2015
132675,49419,Roberto Iras Baldessari,Italian,Male,2015
132676,49426,Henry Fuermann and Sons Photography Company,0,0,0
132677,49428,Antonio Marasco,Italian,Male,2015
132679,49437,Marcelo Suzuki,Brazilian,Male,0
132680,49453,Rael San Fratello,American,0,0
132681,49464,Manuel Herz Architects,Swiss,0,0
132682,49468,Channa Horwitz,American,Female,2016
132692,49485,Ramin Bahrani,American,Male,2016
132693,49488,Deborah Turbeville,American,Female,2016
132696,49495,Joshua White,American,Male,0
132697,49496,Joshua Light Show,American,0,2016
132698,49499,Amilcar de Castro,Brazilian,Male,2016
132699,49504,Louise Despont,American,Female,2016
132700,49530,Alberto Greco,Argentine,Male,2016
132758,49535,Byung Hoon Choi,Korean,Male,2016
132759,49536,Guiseppe Pagano,Italian,Male,2016
132760,49541,Dargoljub Pavlov,Serbian,Male,0
132761,49542,Bora Vitorac,Serbian,Male,0
132762,49543,Arnold Hardy,American,0,0
132763,49544,"Lobmeyr, Kamenický Šenov, Czechoslovakia",0,0,0
