,Name
Yui Kugimiya,5
Every Ocean Hughes,5
Regina Silveira,4
Eszter Haraszty,4
Andrea Bowers,4
Anne Turyn,4
Linda Connor,4
Sybil Andrews,4
Ringl + Pit,4
Natalia Pinus,4
Kseniia Boguslavskaia,4
Nono Reinhold,4
Martirene Alcántara,4
Nancy Holt,4
Julia Fish,4
Hellen Van Meene,4
Jane Kaplowitz,4
Ida O'Keeffe,4
Amelie von Wulffen,4
Mary Weatherford,4
Sofia Borges,4
Barbara Kasten,4
Vivian Cherry,4
Irene Rice Pereira,4
Mary Petty,4
Shirin Neshat,4
Lesley Dill,4
Josephine Pryde,4
Jane Freilicher,4
C. & I. Hohenbüchler,4
Ruth Bernhard,4
Dyani White Hawk,4
Sable Elyse Smith,4
Justine Kurland,4
Eileen Quinlan,4
Edith Heath,4
Hannelore Baron,4
Tabaimo,4
Maya Deren,4
Maria Kipp,4
Alexis Smith,4
Leona Pierce,4
Patti Smith,4
Vanessa Bell,4
Uta Barth,4
Lin Tianmiao,4
Yvonne Delattre,4
Barbara Hepworth,4
Julia Rommel,4
Tomoko Miho,4
Simryn Gill,4
Cindy van den Bremen,4
Jeanne Dunning,4
Mabel Rubli,4
Nell Dorr,4
Eva Lipman,4
Vivian Browne,4
Caroline Durieux,4
Sara Greenberger Rafferty,4
Margarete (Grete) Heymann Loebenstein Marks,4
Sheila Metzner,4
Kay Sage,4
Collier Schorr,4
Tracy Nakayama,4
Louise Campbell,4
Kim McCarty,4
Graciela Carnevale,4
Sigalit Landau,4
Barbara Jones-Hogu,4
Alyson Shotz,4
Marisa Merz,4
Alma Lavenson,4
Raque Ford,4
Senzeni Marasela,4
Mary Frank,4
Jeanne Moutoussamy-Ashe,4
Ana Maria Moncalvo,4
Nancy Hellebrand,4
Amy O'Neill,4
Sylvia Wald,4
Lorie Novak,4
Carole Seborovski,4
April Gornik,4
Valentine Hugo,4
Jenny Perlin,4
Lucienne Day,4
Lettie A. Allen,4
Simone Shubuck,4
Katharina Bosse,4
Gina Pane,4
Amelia Peláez Del Casal,4
Dani (Leventhal) ReStack,4
Alice Rahon,3
Toots Zynsky,3
Lisl Ponger,3
Doris Salcedo,3
Kumi Machida,3
May Stevens,3
Mindy Faber,3
Winka Dubbeldam,3
Angèle Etoundi Essamba,3
Sarah Morris,3
Bertha Trabich,3
Colleen Frances Kenyon,3
Vuokko Eskolin,3
Letícia Parente,3
Maria Laet,3
Audrey Flack,3
Claudy Jongstra,3
Aki Inomata,3
Fayga Ostrower,3
Lina Bo Bardi,3
Anna Ticho,3
Amy Gartrell,3
Jo Ann Callis,3
Clara Tice,3
Valentina Kulagina-Klutsis,3
Maria Brunner,3
Shizuko Muller-Yoshikawa,3
Raquel Forner,3
Vaginal Davis,3
Anna Ostoya,3
Elisabeth Hase,3
Katy Schimert,3
Vera Lisková,3
Marguerite Wildenhain,3
Sandra Gamarra,3
Marie Cosindas,3
Ester Partegàs,3
Mary Ellen Mark,3
Abigail Perlmutter,3
Lucia Radochonska,3
Clara E. Sipprell,3
Anne W. Brigman,3
Susan Te Kahurangi King,3
Akiko Shirai,3
Alice Trumbull Mason,3
Marcia Hafif,3
Iman Issa,3
Eva Watson-Schütze,3
Vibeke Tandberg,3
Emma Gismondi Schweinberger,3
Alex Prager,3
Anne Chu,3
Rei Naito,3
Mary Cassatt,3
Norma G. Morgan,3
Annette Lemieux,3
Hazel Kingsbury,3
June Redfern,3
Ardele Lister,3
Jo Ann Walters,3
Steffani Jemison,3
Ellen Berkenblit,3
Camille Billops,3
Anne Marie Fishbein,3
Nancy Burson,3
Amie Siegel,3
Jackie Winsor,3
Dotty Attie,3
Elsa Schmid,3
Jenny Roed,3
Karen Kilimnik,3
Elizaveta Ignatovich,3
Bea Maddock,3
Catherine Murphy,3
Suzanne R. Dworsky,3
Astrid Sampe,3
Paola Ferrario,3
Gertrude Greene,3
Jennifer Pastor,3
Margrethe Mather,3
Esther Bubley,3
Miyako Ishiuchi,3
Ulli Maier,3
Ruth Bessoudo Courvoisier,3
Gloria della Vittoria,3
Diane Lewis,3
Mika Rottenberg,3
Toyen (Marie Čermínová),3
Frida Kahlo,3
Charmion von Wiegand,3
Alicia Orlandi,3
Ursula von Rydingsvard,3
Janine Antoni,3
Diamond Stingily,3
Elizabeth Simonson,3
Camille Henrot,3
Alison Rossiter,3
Dominique Gonzalez-Foerster,3
Beatrice Wood,3
Katherine Porter,3
Maria Serebriakova,3
Julie Becker,3
Pierrette Bloch,3
Dinora (Doudtchitsky),3
Hiroe Saeki,3
Sue de Beer,3
Lisa Oppenheim,3
Judy Gelles,3
Emily Jacir,3
Agatha Wojciechowsky,3
Pauline Oliveros,3
Vera (Vera Neumann),3
Toba Tucker,3
Katharina Wulff,3
Vera Molnar,3
Anna Atkins,3
Mary Rogers,3
Kirstine Roepstorff,3
Lola Alvarez Bravo,3
Barbara Probst,3
Lyn Gardiner,3
Jane Knížák,3
Wu Tsang,3
Joyce Pensato,3
Deborah Turbeville,3
Marguerita Mergentime,3
Dannielle Tegeder,3
Janice Guy,3
Rachel Selekman,3
Warja Lavater,3
Heidi Bucher,3
Maria Helena Vieira da Silva,3
Judy Dater,3
Elena del Rivero,3
Jac Leirner,3
Toba Khedoori,3
Xaviera Simmons,3
Nancy Rexroth,3
Lida Moser,3
Regina José Galindo,3
Donia Nachshen,3
Laurence Humier,3
Lara Schnitger,3
Christine Sun Kim,3
Elise (Elise Seeds Armitage),3
Anne Collier,3
Sandi Haber Fifield,3
Blythe Bohnen,3
Sturtevant,3
Pitseolak,3
Ginny Bishton,3
Maxi Cohen,3
Susan Turcot,3
Dana Schutz,3
Nasreen Mohamedi,3
Deirdre Burnett,3
Rivane Neuenschwander,3
Shannon Ebner,3
Anne Noggle,3
Patricia Johanson,3
Sonia Lewitzka,3
Orly Genger,3
Natal'ia Nagorskaia,3
Graziella Urbinati,3
Jan Hashey,3
Jane Dickson,3
Cheryl Donegan,2
Ylla,2
Emma Lu Davis,2
Cao Fei,2
Liz Deschenes,2
